"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",2125000,1980,1,1,18,"A",34905.61,0,175.32,0,9,2.46,720
"2",2125000,1980,1,2,15,"A",34905.61,0,289.07,0,11.5,-2.51,519.54
"3",2125000,1980,1,3,13,"A",34905.61,0,297.24,0,11.99,-3,480
"4",2125000,1980,1,4,13,"A",34905.61,2.26,190.21,0,8.55,-0.5,600
"5",2125000,1980,1,5,33,"A",34905.61,5.49,151.74,0,5.5,-2,520
"6",2125000,1980,1,6,27,"A",34905.61,0,289.02,0,6.68,-6.37,370.12
"7",2125000,1980,1,7,22,"A",34905.61,0,259.54,0,6.5,-4,440
"8",2125000,1980,1,8,23,"A",34981.6,5.2,125.98,0,7.5,1.5,680
"9",2125000,1980,1,9,24,"A",35251.2,4.42,100.13,0,7.5,2.85,748.23
"10",2125000,1980,1,10,23,"A",35251.2,0,242.97,0,7.68,-1.68,545.88
"11",2125000,1980,1,11,97,"A",35251.2,13.12,148.86,0,8.46,1.28,662.77
"12",2125000,1980,1,12,257,"A",35251.2,9.02,184.25,0,10.47,0.92,640
"13",2125000,1980,1,13,97,"A",35251.2,0,228.76,0,7.83,-0.6,591.72
"14",2125000,1980,1,14,463,"A",35467.51,17.35,186.16,0,8.44,-1,560
"15",2125000,1980,1,15,224,"A",35596.8,0,288.97,0,14.59,2,720
"16",2125000,1980,1,16,111,"A",35596.8,0,300.78,0,15.6,1.91,712.96
"17",2125000,1980,1,17,81,"A",35596.8,3.17,157.84,0,12.23,4.67,853.54
"18",2125000,1980,1,18,831,"A",35596.8,24.33,104.89,0,12,7.23,1018.44
"19",2125000,1980,1,19,376,"A",35918.84,14.06,244.41,0,16.5,-0.04,600
"20",2125000,1980,1,20,151,"A",35942.4,0,335.65,0,16.99,-1,560
"21",2125000,1980,1,21,99,"A",35942.4,0,321.08,0,15.42,0.5,640
"22",2125000,1980,1,22,86,"A",35942.4,3.61,150.03,0,12.05,5.3,903.82
"23",2125000,1980,1,23,410,"A",36158.71,13.06,161.32,0,11.45,4.08,810.72
"24",2125000,1980,1,24,151,"A",36288,0,339.07,0,11.2,-4.6,440
"25",2125000,1980,1,25,96,"A",36288,0,289,0,13.8,2.7,737.69
"26",2125000,1980,1,26,69,"A",36288,0,256.35,0,13.63,4.5,840
"27",2125000,1980,1,27,59,"A",36610.03,8.02,175.1,0,10.16,2.34,720
"28",2125000,1980,1,28,54,"A",36633.61,0,233.89,0,8.95,1.24,658.94
"29",2125000,1980,1,29,45,"A",36633.61,0,269.7,0,11.34,2,720
"30",2125000,1980,1,30,38,"A",36633.61,0,327.17,0,9.14,-3.5,477.06
"31",2125000,1980,1,31,48,"A",36979.2,4.51,141.71,0,1.5,-4.16,440
"32",2125000,1980,2,1,46,"A",36979.2,0,282.29,0,0.68,-8.37,320
"33",2125000,1980,2,2,34,"A",36979.2,0,329.53,0,1.34,-10.12,280
"34",2125000,1980,2,3,30,"A",37324.8,0,348.26,0,3,-9.94,280
