"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",8164000,1980,1,1,100,"A",36633.62,0,357.44,0,16.54,-0.57,590.78
"2",8164000,1980,1,2,81,"A",36633.62,0,355.67,0,20.24,2.75,734.61
"3",8164000,1980,1,3,74,"A",36633.62,3.97,259.82,0,19.39,5.9,926.36
"4",8164000,1980,1,4,68,"A",36633.62,0,351.29,0,13.42,-2.19,523.95
"5",8164000,1980,1,5,65,"A",36633.62,0,366.26,0,18.02,-0.11,604.43
"6",8164000,1980,1,6,64,"A",36643.37,0,344.95,0,21.53,5.5,901.19
"7",8164000,1980,1,7,64,"A",36712.76,0,334.55,0,20.44,5.7,916.74
"8",8164000,1980,1,8,64,"A",36832.13,0,134.34,0,10.23,5.83,923.19
"9",8164000,1980,1,9,63,"A",36937.71,0,139.14,0,12.15,7.54,1043.26
"10",8164000,1980,1,10,62,"A",36977.76,0.16,223,0,17.63,9.68,1214.19
"11",8164000,1980,1,11,61,"A",36979.2,0.52,284.47,0,22.33,11.06,1323.76
"12",8164000,1980,1,12,60,"A",36979.2,0,307.93,0,18.89,6.77,981.95
"13",8164000,1980,1,13,58,"A",36979.2,0,356.9,0,19.91,3.87,805.86
"14",8164000,1980,1,14,59,"A",36988.95,0,359.29,0,24.2,7.12,993.85
"15",8164000,1980,1,15,59,"A",37137.42,0,284.96,0,24.2,12.92,1484.02
"16",8164000,1980,1,16,58,"A",37283.31,0,222.36,0,25.39,17.01,1924.31
"17",8164000,1980,1,17,57,"A",37324.8,0,254.77,0,23.76,14.2,1618.81
"18",8164000,1980,1,18,54,"A",37324.8,0.8,321.8,0,22.14,8.18,1073
"19",8164000,1980,1,19,54,"A",37324.8,0,246.9,0,21.79,12.89,1483.84
"20",8164000,1980,1,20,289,"A",37334.56,19.32,126.68,0,21.75,15.9,1794.33
"21",8164000,1980,1,21,4000,"A",37523.36,46,178.71,0,18.86,10.65,1292.37
"22",8164000,1980,1,22,5740,"A",37668.98,14.92,108.41,0,12.95,8.42,1113.86
"23",8164000,1980,1,23,2460,"A",37670.42,0.51,310.7,0,12.92,1.74,695.68
"24",8164000,1980,1,24,840,"A",37670.42,0,368.51,0,16.65,1.86,704.1
"25",8164000,1980,1,25,415,"A",37672.56,0,344.35,0,19.07,5.91,930.42
"26",8164000,1980,1,26,291,"A",37828.64,0,372.07,0,22.34,6.62,972.96
"27",8164000,1980,1,27,224,"A",38014.55,0,392.07,0,22.08,4.5,844.16
"28",8164000,1980,1,28,178,"A",38015.98,0,283.55,0,13.33,4.06,811.45
"29",8164000,1980,1,29,153,"A",38015.98,1.07,299.87,0,14.76,4.79,862.78
"30",8164000,1980,1,30,142,"A",38056.16,2.17,147.58,0,10.17,5.62,912.67
"31",8164000,1980,1,31,128,"A",38287.26,0,296.18,0,9.95,0.76,639.91
"32",8164000,1980,2,1,117,"A",38361.6,0,214.23,0,5.53,-0.41,592.46
"33",8164000,1980,2,2,112,"A",38361.6,5.81,131.01,0,5.42,0.81,644.08
"34",8164000,1980,2,3,112,"A",38361.6,0.75,330.32,0,12.55,2.48,728
"35",8164000,1980,2,4,109,"A",38596.81,0,410.42,0,18.35,2.99,759.15
"36",8164000,1980,2,5,108,"A",38707.22,0,351.84,0,19.69,8.52,1121.93
"37",8164000,1980,2,6,105,"A",38707.22,0,423.94,0,19.63,3.16,770.15
"38",8164000,1980,2,7,98,"A",38707.22,0,363.29,0,19.18,7.45,1035.8
"39",8164000,1980,2,8,163,"A",38942.36,13.28,272.86,0,20.4,8.39,1111.09
"40",8164000,1980,2,9,1400,"A",39052.75,14.03,239.98,0,10.42,1.29,664.2
"41",8164000,1980,2,10,1670,"A",39052.75,0,334.24,0,7.44,-1.97,530.81
"42",8164000,1980,2,11,591,"A",39054.89,0,386.71,0,12.5,0.47,626.56
"43",8164000,1980,2,12,297,"A",39356.91,0.46,292.78,0,12.75,4.61,848.8
"44",8164000,1980,2,13,218,"A",39398.41,0,303.82,0,14.26,6.21,937
"45",8164000,1980,2,14,182,"A",39398.41,0,327.53,0,18.41,9.33,1186.42
"46",8164000,1980,2,15,162,"A",39438.58,0,323.55,0,22.67,13.39,1538.96
"47",8164000,1980,2,16,143,"A",39743.98,0.76,457.01,0,23.35,1.14,654.6
"48",8164000,1980,2,17,126,"A",39743.98,0,333.3,0,5.83,-2.7,502.7
"49",8164000,1980,2,18,120,"A",39743.98,3.97,290.08,0,10.53,-0.22,600.49
"50",8164000,1980,2,19,117,"A",39979.2,0,467.37,0,24.33,4.56,844.02
"51",8164000,1980,2,20,116,"A",40089.59,0,432.27,0,27.28,10.78,1302
"52",8164000,1980,2,21,113,"A",40089.59,0,397.99,0,27.21,13.19,1514.59
"53",8164000,1980,2,22,108,"A",40099.3,0,459.63,0,29.16,9.03,1157.9
"54",8164000,1980,2,23,103,"A",40435.2,0,423.94,0,28.04,12.06,1404.89
"55",8164000,1980,2,24,98,"A",40435.2,0,449.14,0,26.49,8.89,1150.98
"56",8164000,1980,2,25,92,"A",40435.2,0,468.31,0,23.85,5.17,890.62
"57",8164000,1980,2,26,88,"A",40764.68,0,457.95,0,19.26,2.91,745.29
"58",8164000,1980,2,27,86,"A",40780.78,0,468.67,0,20.97,3.34,757.83
"59",8164000,1980,2,28,84,"A",40780.78,0,465.6,0,24.69,6.56,926.85
"60",8164000,1980,2,29,84,"A",40898.11,0,354.04,0,25.98,14.25,1622.16
"61",8164000,1980,3,1,87,"A",41126.39,8.66,380.92,0,23.37,-0.21,602.29
"62",8164000,1980,3,2,81,"A",41126.39,0,408.22,0,5.95,-6.83,362.9
"63",8164000,1980,3,3,84,"A",41126.39,0,490.33,0,14.76,-4.57,440.5
"64",8164000,1980,3,4,87,"A",41472.01,0,389.51,0,23.16,9.59,1205.9
"65",8164000,1980,3,5,86,"A",41472.01,0,437.59,0,25.09,8.6,1100.34
"66",8164000,1980,3,6,83,"A",41472.01,0,471.25,0,21.78,3.47,768.95
"67",8164000,1980,3,7,83,"A",41817.6,0,317.7,0,24.49,14.02,1600.04
"68",8164000,1980,3,8,83,"A",41817.6,0,240.71,0,24.99,17.29,1967.4
"69",8164000,1980,3,9,81,"A",41817.6,0,363.88,0,24.41,12.35,1427.76
"70",8164000,1980,3,10,80,"A",42163.16,0,429.07,0,29.89,13.79,1458.07
"71",8164000,1980,3,11,80,"A",42163.16,0,368.1,0,29.76,16.67,1844.49
"72",8164000,1980,3,12,80,"A",42163.16,0.28,322.93,0,28.21,17.29,1962.52
"73",8164000,1980,3,13,77,"A",42242.34,0,443.77,0,28.16,11.64,1258.76
"74",8164000,1980,3,14,74,"A",42508.81,0,380.93,0,22.66,9.97,1216.88
"75",8164000,1980,3,15,73,"A",42508.81,0,338.23,0,23.39,12.36,1428.57
"76",8164000,1980,3,16,72,"A",42508.81,4.95,209.79,0,24.06,15.11,1716.13
"77",8164000,1980,3,17,74,"A",42854.41,3.25,282.43,0,22.5,12.04,1401.82
"78",8164000,1980,3,18,73,"A",42854.41,0,450.54,0,18.79,3.68,768.9
"79",8164000,1980,3,19,71,"A",42854.41,0.24,354.95,0,19.93,8.91,1151.41
"80",8164000,1980,3,20,72,"A",43200.01,0,374.66,0,27,14.69,1628.41
"81",8164000,1980,3,21,71,"A",43200.01,0,530.15,0,27.34,5.74,788.49
"82",8164000,1980,3,22,69,"A",43200.01,0,476.38,0,23.05,6.45,888.1
"83",8164000,1980,3,23,69,"A",43545.59,1.24,377.24,0,25.04,13.07,1471.14
"84",8164000,1980,3,24,69,"A",43545.59,0,423.19,0,24.82,11.13,1254.59
"85",8164000,1980,3,25,69,"A",43545.59,0,345.05,0,22.31,12.1,1406.61
"86",8164000,1980,3,26,68,"A",43891.19,8.36,215.18,0,20.31,12.34,1426.93
"87",8164000,1980,3,27,68,"A",43891.19,12.65,116.22,0,18.04,14.09,1607.34
"88",8164000,1980,3,28,76,"A",43891.19,6.21,236.29,0,21.97,13.47,1543.47
"89",8164000,1980,3,29,90,"A",44157.66,2.51,343.1,0,25.14,14.66,1668.4
"90",8164000,1980,3,30,125,"A",44236.79,0.96,487.89,0,24.24,7.49,989.8
"91",8164000,1980,3,31,106,"A",44236.79,0,481.37,0,24.76,10.17,1198.55
"92",8164000,1980,4,1,84,"A",44236.79,0,432.08,0,25.93,13.42,1513.8
"93",8164000,1980,4,2,125,"A",44582.4,0.59,337.42,0,26.44,17.02,1933.41
"94",8164000,1980,4,3,156,"A",44582.4,0.3,333.12,0,27.06,18.06,2075.61
"95",8164000,1980,4,4,92,"A",44582.4,0,463.22,0,25.6,12.54,1397.14
"96",8164000,1980,4,5,80,"A",44928.02,0,473.13,0,24.98,11.79,1322.45
"97",8164000,1980,4,6,74,"A",44928.02,0.01,419.78,0,24.38,13.36,1512.74
"98",8164000,1980,4,7,73,"A",44928.02,0.5,324.75,0,27.29,18.88,2180.72
"99",8164000,1980,4,8,70,"A",45273.59,1.71,449.37,0,26.5,13.31,1461.62
"100",8164000,1980,4,9,67,"A",45273.59,0,567.22,0,25.66,6.58,873.24
"101",8164000,1980,4,10,64,"A",45273.59,0,563.42,0,26.46,7.48,923.77
"102",8164000,1980,4,11,63,"A",45501.84,0,384.74,0,26.44,16.26,1830.58
"103",8164000,1980,4,12,66,"A",45619.19,0.31,504.05,0,24.96,10.3,1170.84
"104",8164000,1980,4,13,64,"A",45619.19,8.48,246.53,0,12.72,5.35,904.92
"105",8164000,1980,4,14,63,"A",45635.29,0,578.82,0,19.82,1.19,629.39
"106",8164000,1980,4,15,64,"A",45964.82,0,574.63,0,26.66,6.71,883.31
"107",8164000,1980,4,16,66,"A",45964.82,0,554.97,0,28.95,9.97,1098.89
"108",8164000,1980,4,17,64,"A",45964.82,0,513.02,0,28.04,12.1,1308.77
"109",8164000,1980,4,18,62,"A",46300.64,0,500.16,0,26.69,11.6,1284.6
"110",8164000,1980,4,19,61,"A",46310.39,0,542.6,0,26.26,8.72,1030.57
"111",8164000,1980,4,20,66,"A",46310.39,0,541.21,0,27.74,10.35,1082.33
"112",8164000,1980,4,21,60,"A",46420.79,0,542.41,0,27.97,11.03,938.54
"113",8164000,1980,4,22,58,"A",46656.01,0,514.14,0,27.48,12.32,968.85
"114",8164000,1980,4,23,60,"A",46656.01,0,460.6,0,27.99,15.13,1239.04
"115",8164000,1980,4,24,62,"A",46656.01,0,394.35,0,28.8,18.09,1627.5
"116",8164000,1980,4,25,58,"A",46961.45,6.78,340.7,0,28.94,16.72,1612.33
"117",8164000,1980,4,26,54,"A",47001.59,0,514.8,0,27.69,12.08,985.07
"118",8164000,1980,4,27,52,"A",47001.59,0,534.75,0,25.39,8.81,789.08
"119",8164000,1980,4,28,55,"A",47043.07,0,539.06,0,26.8,9.61,816.11
"120",8164000,1980,4,29,53,"A",47345.04,0,541.85,0,30.16,12.32,933.79
"121",8164000,1980,4,30,51,"A",47347.2,0,459.66,0,29.62,15.91,1305.56
"122",8164000,1980,5,1,55,"A",47347.2,0.01,267.27,0,26.57,19.22,2116.99
"123",8164000,1980,5,2,58,"A",47457.59,8.01,315.62,0,28.6,17.92,1816.26
"124",8164000,1980,5,3,57,"A",47692.79,0.15,434.11,0,29.62,16.84,1439.46
